city,state_id,state_name,county_name,lat,lng,density,ranking,Price,home_value
Spokane,WA,Washington,Spokane,47.6671,-117.433,1230.8,2,$356,236231
Oakland,CA,California,Alameda,37.7904,-122.2166,2917.1,2,$356,772365
Lancaster,PA,Pennsylvania,Lancaster,40.042,-76.3012,3169.1,2,$355,144759
Poughkeepsie,NY,New York,Dutchess,41.695,-73.9211,2277.1,2,$355,214888
Boise,ID,Idaho,Ada,43.6005,-116.2308,1047.5,2,$355,322309
Winston-Salem,NC,North Carolina,Forsyth,36.1029,-80.261,712.9,2,$355,157221
Syracuse,NY,New York,Onondaga,43.0407,-76.1437,2196.4,2,$355,100144
Augusta,GA,Georgia,Richmond,33.3645,-82.0708,252.3,2,$355,122349
Stockton,CA,California,San Joaquin,37.9765,-121.3109,1925.2,2,$354,323149
Palm Coast,FL,Florida,Flagler,29.5389,-81.2457,357.2,2,$354,239092
Chattanooga,TN,Tennessee,Hamilton,35.066,-85.2481,491.9,2,$354,188317
Kissimmee,FL,Florida,Osceola,28.3041,-81.4169,1300.3,2,$354,217430
Durham,NC,North Carolina,Durham,35.9792,-78.9022,939.7,2,$354,263857
Arlington,TX,Texas,Tarrant,32.6998,-97.125,1600.4,2,$353,210516
Victorville,CA,California,San Bernardino,34.5277,-117.3536,644.1,2,$353,252925
Aurora,CO,Colorado,Arapahoe,39.7083,-104.7237,915.8,2,$353,349455
Modesto,CA,California,Stanislaus,37.6375,-121.0028,1923.9,2,$353,329607
Lancaster,CA,California,Los Angeles,34.6935,-118.1753,645.9,2,$353,300527
Fayetteville,AR,Arkansas,Washington,36.0714,-94.1661,614.5,2,$353,254921
Scranton,PA,Pennsylvania,Lackawanna,41.4044,-75.6649,1174.7,2,$352,111717
Oxnard,CA,California,Ventura,34.1964,-119.1815,3023.3,2,$352,497378
Youngstown,OH,Ohio,Mahoning,41.0993,-80.6463,730.1,2,$352,47854
Indio,CA,California,Riverside,33.7346,-116.2346,1046.2,2,$352,305886
Pensacola,FL,Florida,Escambia,30.4413,-87.1911,897.6,2,$352,218851
Anaheim,CA,California,Orange,33.839,-117.8574,2711.7,2,$351,623078
Bonita Springs,FL,Florida,Lee,26.3558,-81.7859,580.4,2,$351,353357
Greensboro,NC,North Carolina,Guilford,36.0956,-79.8271,872.6,2,$351,168561
Islip,NY,New York,Suffolk,40.7385,-73.1888,1236.9,2,$351,401450
Huntsville,AL,Alabama,Madison,34.6981,-86.6412,351.8,2,$351,193609
Corpus Christi,TX,Texas,Nueces,27.7254,-97.3767,777,2,$351,152931
Fort Wayne,IN,Indiana,Allen,41.0888,-85.1436,935.5,2,$350,130150
Fayetteville,NC,North Carolina,Cumberland,35.085,-78.9772,550,2,$350,137082
Ann Arbor,MI,Michigan,Washtenaw,42.2759,-83.731,1658,2,$350,366568
Jackson,MS,Mississippi,Hinds,32.3157,-90.2125,566,2,$350,92285
Antioch,CA,California,Contra Costa,37.9787,-121.796,1475.4,2,$350,465426
Mobile,AL,Alabama,Mobile,30.6782,-88.1162,525.9,2,$350,136033
Lexington,KY,Kentucky,Fayette,38.0423,-84.4587,438.6,2,$349,216662
Asheville,NC,North Carolina,Buncombe,35.5707,-82.5537,784,2,$349,317015
Trenton,NJ,New Jersey,Mercer,40.2237,-74.7641,4232.8,2,$349,98513
